Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sin dato,1.0%,2,Sin dato,1,1,2,Female,94,3,N/A,Sales Executive,4,Single,5993.0,19479,8,Y,Yes,11,3,,80.0,0,8.0,0,1,6,4,0.0,5
NULL,No,Travel_Frequently,279,Research & Development,8.0,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130.0,-310313.7831703108,1,Y,No,23,4,4.0,80.0,1,,3,3,10,7,1.0,7
37,Yes,Travel_Rarely,1373,Research & Development,2.0,165.52537747275642,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Y,False,15,3,2.0,80.0,0,7.0,3,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3.0,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,,2909.0,23159,1,Y,Yes,11,3,3.0,80.0,0,8.0,3,3,8,7,3.0,missing
27,No,Travel_Rarely,591,Research & Development,2.0,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,,16632,9,Y,No,12,3,4.0,80.0,1,6.0,20220335,3,2,2,2.0,2
32,No,Travel_Frequently,1005,,2.0,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,NULL,0,Y,No,13,3,3.0,80.0,0,8.0,2,2,7,7,3.0,6
59,No,Travel_Rarely,1324,Research & Development,3.0,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Y,Yes,20,4,N/A,80.0,3,12.0,3,2,1,0,0.0,0
30,No,Travel_Rarely,1358,Research & Development,24.0,1.0%,Life Sciences,1,11,4,-1,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,Y,No,-565.5148732654973,4,2.0,80.0,1,1.0,2,3,1,0,0.0,0
38,No,Travel_Frequently,216,Research & Development,31.785645637299872,3,Life Sciences,1,12,4,Male,44,2,N/A,Manufacturing Director,3,Single,9526.0,8787,0,Y,No,21,NULL,6.354402255965411,80.0,0,10.0,2,3,9,7,1.0,8
36,No,,1299,Research & Development,27.0,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,Y,yes,13,3,2.0,80.0,2,17.0,3,2,7,7,7.0,7
35,No,Travel_Rarely,809,Research & Development,16.0,3,Medical,1,14,1,,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,Y,No,13,3.0%,3.0,80.0,1,6.0,5,3,5,4,0.0,3
29,No,Travel_Rarely,153,Research & Development,15.0,2,Sin dato,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,Y,Yes,12,3,4.0,80.0,0,10.0,3,3,9,5,0.0,8
31,No,Travel_Rarely,670,Research & Development,26.0,1,Life Sciences,1,16,1,N.A.,31,3,1,Sin dato,3,,2911.0,15170,1,Y,No,17,3,4.0,80.0,1,5.0,1,2,5,2,4.0,3
NULL,No,Travel_Rarely,1346,Research & Development,19.0,2,Medical,1,18,2,Male,93,3,abc,Laboratory Technician,4,Divorced,2661.0,8758,0,Y,No,11,3,3.0,80.0,1,,2,3,2,2,NULL,2
28,Ninguno,Travel_Rarely,103,Research & Development,,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,Y,Yes,14,3,2.0,80.0,0,6.0,4,3,4,2,0.0%,3
-770.7785533727739,No,Travel_Rarely,1389,None,21.0,4,Life Sciences,1,20,2,Ninguno,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,Y,No,11,3,3.0,80.0,1,10.0,1,3,10,9,8.0,8
—,No,Travel_Rarely,334,Research & Development,5.0,$2,Life Sciences,1,21,1,Male,80,4,1,Unknown,2,???,3298.0,15053,0,Y,2020-13-40,12,3,4.0,80.0,2,7.0,2021/99/01,2,6,2,0.0,5
22,No,,1123,Research & Development,16.0,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324.0%,1,Y,Yes,13,3,2.0,80.0,2,1.0,2,2,1,0,0.0,0
53,,Travel_Rarely,1219,Sales,2.0,4,,1,23,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,Y,No,16,3,3.0,80.0,0,31.0,3,3,25,8,3.0,7
38,No,Travel_Rarely,371,Research & Development,2.0,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5,Y,Yes,11,3,3.0,80.0,0,6.0,3,3,3,2,1.0,2
24,No,Non-Travel,673,,11.0,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,,8232,0,Y,No,18,3,4.0,80.0,1,5.0,5,2,4,2,1.0,3
36,Yes,Travel_Rarely,1218,Sales,9.0,4,Life Sciences,1,27,3,,82,2,1,Sales Representative,1,Single,3407.0,6986,7,Y,No,23,4,2.0,80.0,0,10.0,4,3,5,3,0.0,3
